date,case_type,count
"Saturday, 10 July, 2021",Recovered,737102
"Saturday, 10 July, 2021",Deaths,6067
"Sunday, 11 July, 2021",Active,87843
"Sunday, 11 July, 2021",Recovered,742296
"Sunday, 11 July, 2021",Deaths,6157
"Monday, 12 July, 2021",Active,91273
"Monday, 12 July, 2021",Recovered,747337
"Monday, 12 July, 2021",Deaths,6260
"Tuesday, 13 July, 2021",Active,96237
"Tuesday, 13 July, 2021",Recovered,753327
"Tuesday, 13 July, 2021",Deaths,6385
"Wednesday, 14 July, 2021",Active,101360
"Wednesday, 14 July, 2021",Recovered,759704
"Wednesday, 14 July, 2021",Deaths,6503
"Thursday, 15 July, 2021",Active,108370
"Thursday, 15 July, 2021",Recovered,765799
"Thursday, 15 July, 2021",Deaths,6613
"Friday, 16 July, 2021",Active,114054
"Friday, 16 July, 2021",Recovered,772541
"Friday, 16 July, 2021",Deaths,6728
"Saturday, 17 July, 2021",Active,119815
"Saturday, 17 July, 2021",Recovered,779170
"Saturday, 17 July, 2021",Deaths,6866
"Sunday, 18 July, 2021",Active,124594
"Sunday, 18 July, 2021",Recovered,784948
"Sunday, 18 July, 2021",Deaths,7019
"Monday, 19 July, 2021",Active,128998
"Monday, 19 July, 2021",Recovered,791387
"Monday, 19 July, 2021",Deaths,7148
"Tuesday, 20 July, 2021",Active,133704
"Tuesday, 20 July, 2021",Recovered,798954
"Tuesday, 20 July, 2021",Deaths,7241
"Wednesday, 21 July, 2021",Active,137588
"Wednesday, 21 July, 2021",Recovered,806856
"Wednesday, 21 July, 2021",Deaths,7440
"Thursday, 22 July, 2021",Active,142052
"Thursday, 22 July, 2021",Recovered,815292
"Thursday, 22 July, 2021",Deaths,7574
"Friday, 23 July, 2021",Active,147387
"Friday, 23 July, 2021",Recovered,825386
"Friday, 23 July, 2021",Deaths,7718
"Saturday, 24 July, 2021",Active,153634
"Saturday, 24 July, 2021",Recovered,834857
"Saturday, 24 July, 2021",Deaths,7902
"Sunday, 25 July, 2021",Active,160904
"Sunday, 25 July, 2021",Recovered,844540
"Sunday, 25 July, 2021",Deaths,7994
"Monday, 26 July, 2021",Active,165842
"Monday, 26 July, 2021",Recovered,853911
"Monday, 26 July, 2021",Deaths,8201
"Tuesday, 27 July, 2021",Active,170226
"Tuesday, 27 July, 2021",Recovered,865437
"Tuesday, 27 July, 2021",Deaths,8408
"Wednesday, 28 July, 2021",Active,175115
"Wednesday, 28 July, 2021",Recovered,877810
"Wednesday, 28 July, 2021",Deaths,8551
"Thursday, 29 July, 2021",Active,179181
"Thursday, 29 July, 2021",Recovered,890740
"Thursday, 29 July, 2021",Deaths,8725
"Friday, 30 July, 2021",Active,183708
"Friday, 30 July, 2021",Recovered,902919
"Friday, 30 July, 2021",Deaths,8859
"Saturday, 31 July, 2021",Active,189611
"Saturday, 31 July, 2021",Recovered,914637
"Saturday, 31 July, 2021",Deaths,9024
"Sunday, 1 August, 2021",Active,195275
"Sunday, 1 August, 2021",Recovered,925963
"Sunday, 1 August, 2021",Deaths,9184
"Monday, 2 August, 2021",Active,199053
"Monday, 2 August, 2021",Recovered,937730
"Monday, 2 August, 2021",Deaths,9403
"Tuesday, 3 August, 2021",Active,203666
"Tuesday, 3 August, 2021",Recovered,950027
"Tuesday, 3 August, 2021",Deaths,9598
"Wednesday, 4 August, 2021",Active,210524
"Wednesday, 4 August, 2021",Recovered,962731
"Wednesday, 4 August, 2021",Deaths,9855
"Thursday, 5 August, 2021",Active,217063
"Thursday, 5 August, 2021",Recovered,976624
"Thursday, 5 August, 2021",Deaths,10019
"Friday, 6 August, 2021",Active,221398
"Friday, 6 August, 2021",Recovered,993018
"Friday, 6 August, 2021",Deaths,10179
"Saturday, 7 August, 2021",Active,224123
"Saturday, 7 August, 2021",Recovered,1009340
"Saturday, 7 August, 2021",Deaths,10389
"Sunday, 8 August, 2021",Active,225396
"Sunday, 8 August, 2021",Recovered,1026395
"Sunday, 8 August, 2021",Deaths,10749
"Monday, 9 August, 2021",Active,227233
"Monday, 9 August, 2021",Recovered,1041582
"Monday, 9 August, 2021",Deaths,10961
"Tuesday, 10 August, 2021",Active,230765
"Tuesday, 10 August, 2021",Recovered,1057840
"Tuesday, 10 August, 2021",Deaths,11162
