date,state,deaths_new
"Monday, 6 April, 2020",Perlis,1
"Monday, 6 April, 2020",Pulau Pinang,0
"Monday, 6 April, 2020",Sabah,1
"Monday, 6 April, 2020",Sarawak,0
"Monday, 6 April, 2020",Selangor,0
"Monday, 6 April, 2020",Terengganu,0
"Monday, 6 April, 2020",W.P. Kuala Lumpur,0
"Monday, 6 April, 2020",W.P. Labuan,0
"Monday, 6 April, 2020",W.P. Putrajaya,0
"Tuesday, 7 April, 2020",Johor,0
"Tuesday, 7 April, 2020",Kedah,0
"Tuesday, 7 April, 2020",Kelantan,0
"Tuesday, 7 April, 2020",Melaka,0
"Tuesday, 7 April, 2020",Negeri Sembilan,1
"Tuesday, 7 April, 2020",Pahang,0
"Tuesday, 7 April, 2020",Perak,0
"Tuesday, 7 April, 2020",Perlis,0
"Tuesday, 7 April, 2020",Pulau Pinang,0
"Tuesday, 7 April, 2020",Sabah,0
"Tuesday, 7 April, 2020",Sarawak,0
"Tuesday, 7 April, 2020",Selangor,0
"Tuesday, 7 April, 2020",Terengganu,0
"Tuesday, 7 April, 2020",W.P. Kuala Lumpur,0
"Tuesday, 7 April, 2020",W.P. Labuan,0
"Tuesday, 7 April, 2020",W.P. Putrajaya,0
"Wednesday, 8 April, 2020",Johor,0
"Wednesday, 8 April, 2020",Kedah,0
"Wednesday, 8 April, 2020",Kelantan,0
"Wednesday, 8 April, 2020",Melaka,0
"Wednesday, 8 April, 2020",Negeri Sembilan,0
"Wednesday, 8 April, 2020",Pahang,0
"Wednesday, 8 April, 2020",Perak,0
"Wednesday, 8 April, 2020",Perlis,0
"Wednesday, 8 April, 2020",Pulau Pinang,0
"Wednesday, 8 April, 2020",Sabah,0
"Wednesday, 8 April, 2020",Sarawak,0
"Wednesday, 8 April, 2020",Selangor,0
"Wednesday, 8 April, 2020",Terengganu,0
"Wednesday, 8 April, 2020",W.P. Kuala Lumpur,1
"Wednesday, 8 April, 2020",W.P. Labuan,0
"Wednesday, 8 April, 2020",W.P. Putrajaya,0
"Thursday, 9 April, 2020",Johor,0
"Thursday, 9 April, 2020",Kedah,0
"Thursday, 9 April, 2020",Kelantan,0
"Thursday, 9 April, 2020",Melaka,1
"Thursday, 9 April, 2020",Negeri Sembilan,0
"Thursday, 9 April, 2020",Pahang,0
"Thursday, 9 April, 2020",Perak,0
"Thursday, 9 April, 2020",Perlis,0
"Thursday, 9 April, 2020",Pulau Pinang,0
"Thursday, 9 April, 2020",Sabah,0
"Thursday, 9 April, 2020",Sarawak,1
"Thursday, 9 April, 2020",Selangor,0
"Thursday, 9 April, 2020",Terengganu,0
"Thursday, 9 April, 2020",W.P. Kuala Lumpur,0
"Thursday, 9 April, 2020",W.P. Labuan,0
"Thursday, 9 April, 2020",W.P. Putrajaya,0
"Friday, 10 April, 2020",Johor,0
"Friday, 10 April, 2020",Kedah,0
"Friday, 10 April, 2020",Kelantan,0
"Friday, 10 April, 2020",Melaka,0
"Friday, 10 April, 2020",Negeri Sembilan,0
"Friday, 10 April, 2020",Pahang,0
"Friday, 10 April, 2020",Perak,0
"Friday, 10 April, 2020",Perlis,0
"Friday, 10 April, 2020",Pulau Pinang,0
"Friday, 10 April, 2020",Sabah,1
"Friday, 10 April, 2020",Sarawak,0
"Friday, 10 April, 2020",Selangor,2
"Friday, 10 April, 2020",Terengganu,0
"Friday, 10 April, 2020",W.P. Kuala Lumpur,0
"Friday, 10 April, 2020",W.P. Labuan,0
"Friday, 10 April, 2020",W.P. Putrajaya,0
"Saturday, 11 April, 2020",Johor,0
"Saturday, 11 April, 2020",Kedah,0
"Saturday, 11 April, 2020",Kelantan,0
"Saturday, 11 April, 2020",Melaka,0
"Saturday, 11 April, 2020",Negeri Sembilan,1
"Saturday, 11 April, 2020",Pahang,0
"Saturday, 11 April, 2020",Perak,1
"Saturday, 11 April, 2020",Perlis,0
"Saturday, 11 April, 2020",Pulau Pinang,0
"Saturday, 11 April, 2020",Sabah,0
"Saturday, 11 April, 2020",Sarawak,0
"Saturday, 11 April, 2020",Selangor,0
"Saturday, 11 April, 2020",Terengganu,0
"Saturday, 11 April, 2020",W.P. Kuala Lumpur,1
"Saturday, 11 April, 2020",W.P. Labuan,0
"Saturday, 11 April, 2020",W.P. Putrajaya,0
"Sunday, 12 April, 2020",Johor,0
"Sunday, 12 April, 2020",Kedah,0
"Sunday, 12 April, 2020",Kelantan,0
"Sunday, 12 April, 2020",Melaka,0
"Sunday, 12 April, 2020",Negeri Sembilan,1
"Sunday, 12 April, 2020",Pahang,0
"Sunday, 12 April, 2020",Perak,1
"Sunday, 12 April, 2020",Perlis,0
"Sunday, 12 April, 2020",Pulau Pinang,0
"Sunday, 12 April, 2020",Sabah,0
"Sunday, 12 April, 2020",Sarawak,1
"Sunday, 12 April, 2020",Selangor,0
"Sunday, 12 April, 2020",Terengganu,0
"Sunday, 12 April, 2020",W.P. Kuala Lumpur,2
"Sunday, 12 April, 2020",W.P. Labuan,0
"Sunday, 12 April, 2020",W.P. Putrajaya,0
"Monday, 13 April, 2020",Johor,0
"Monday, 13 April, 2020",Kedah,0
"Monday, 13 April, 2020",Kelantan,0
"Monday, 13 April, 2020",Melaka,1
"Monday, 13 April, 2020",Negeri Sembilan,0
"Monday, 13 April, 2020",Pahang,0
"Monday, 13 April, 2020",Perak,0
"Monday, 13 April, 2020",Perlis,0
"Monday, 13 April, 2020",Pulau Pinang,0
"Monday, 13 April, 2020",Sabah,0
"Monday, 13 April, 2020",Sarawak,0
"Monday, 13 April, 2020",Selangor,0
"Monday, 13 April, 2020",Terengganu,0
"Monday, 13 April, 2020",W.P. Kuala Lumpur,0
"Monday, 13 April, 2020",W.P. Labuan,0
"Monday, 13 April, 2020",W.P. Putrajaya,0
"Tuesday, 14 April, 2020",Johor,2
"Tuesday, 14 April, 2020",Kedah,0
"Tuesday, 14 April, 2020",Kelantan,0
"Tuesday, 14 April, 2020",Melaka,0
"Tuesday, 14 April, 2020",Negeri Sembilan,0
"Tuesday, 14 April, 2020",Pahang,0
"Tuesday, 14 April, 2020",Perak,0
"Tuesday, 14 April, 2020",Perlis,0
"Tuesday, 14 April, 2020",Pulau Pinang,0
"Tuesday, 14 April, 2020",Sabah,0
"Tuesday, 14 April, 2020",Sarawak,0
"Tuesday, 14 April, 2020",Selangor,1
"Tuesday, 14 April, 2020",Terengganu,0
"Tuesday, 14 April, 2020",W.P. Kuala Lumpur,0
"Tuesday, 14 April, 2020",W.P. Labuan,0
"Tuesday, 14 April, 2020",W.P. Putrajaya,0
"Wednesday, 15 April, 2020",Johor,0
"Wednesday, 15 April, 2020",Kedah,0
"Wednesday, 15 April, 2020",Kelantan,0
"Wednesday, 15 April, 2020",Melaka,0
"Wednesday, 15 April, 2020",Negeri Sembilan,0
"Wednesday, 15 April, 2020",Pahang,0
"Wednesday, 15 April, 2020",Perak,0
"Wednesday, 15 April, 2020",Perlis,0
"Wednesday, 15 April, 2020",Pulau Pinang,0
"Wednesday, 15 April, 2020",Sabah,0
"Wednesday, 15 April, 2020",Sarawak,0
"Wednesday, 15 April, 2020",Selangor,1
"Wednesday, 15 April, 2020",Terengganu,0
"Wednesday, 15 April, 2020",W.P. Kuala Lumpur,1
"Wednesday, 15 April, 2020",W.P. Labuan,0
"Wednesday, 15 April, 2020",W.P. Putrajaya,0
"Thursday, 16 April, 2020",Johor,0
"Thursday, 16 April, 2020",Kedah,0
"Thursday, 16 April, 2020",Kelantan,0
"Thursday, 16 April, 2020",Melaka,0
"Thursday, 16 April, 2020",Negeri Sembilan,0
"Thursday, 16 April, 2020",Pahang,1
"Thursday, 16 April, 2020",Perak,0
"Thursday, 16 April, 2020",Perlis,0
"Thursday, 16 April, 2020",Pulau Pinang,0
"Thursday, 16 April, 2020",Sabah,0
"Thursday, 16 April, 2020",Sarawak,0
"Thursday, 16 April, 2020",Selangor,1
"Thursday, 16 April, 2020",Terengganu,0
"Thursday, 16 April, 2020",W.P. Kuala Lumpur,0
"Thursday, 16 April, 2020",W.P. Labuan,0
"Thursday, 16 April, 2020",W.P. Putrajaya,0
"Friday, 17 April, 2020",Johor,0
"Friday, 17 April, 2020",Kedah,0
"Friday, 17 April, 2020",Kelantan,0
"Friday, 17 April, 2020",Melaka,0
"Friday, 17 April, 2020",Negeri Sembilan,0
"Friday, 17 April, 2020",Pahang,0
"Friday, 17 April, 2020",Perak,0
"Friday, 17 April, 2020",Perlis,0
"Friday, 17 April, 2020",Pulau Pinang,0
"Friday, 17 April, 2020",Sabah,0
"Friday, 17 April, 2020",Sarawak,0
"Friday, 17 April, 2020",Selangor,0
"Friday, 17 April, 2020",Terengganu,0
"Friday, 17 April, 2020",W.P. Kuala Lumpur,1
"Friday, 17 April, 2020",W.P. Labuan,0
"Friday, 17 April, 2020",W.P. Putrajaya,0
"Saturday, 18 April, 2020",Johor,0
"Saturday, 18 April, 2020",Kedah,0
"Saturday, 18 April, 2020",Kelantan,0
"Saturday, 18 April, 2020",Melaka,0
"Saturday, 18 April, 2020",Negeri Sembilan,0
"Saturday, 18 April, 2020",Pahang,0
"Saturday, 18 April, 2020",Perak,0
"Saturday, 18 April, 2020",Perlis,0
"Saturday, 18 April, 2020",Pulau Pinang,0
"Saturday, 18 April, 2020",Sabah,0
"Saturday, 18 April, 2020",Sarawak,0
"Saturday, 18 April, 2020",Selangor,0
"Saturday, 18 April, 2020",Terengganu,0
"Saturday, 18 April, 2020",W.P. Kuala Lumpur,0
"Saturday, 18 April, 2020",W.P. Labuan,0
"Saturday, 18 April, 2020",W.P. Putrajaya,0
"Sunday, 19 April, 2020",Johor,1
"Sunday, 19 April, 2020",Kedah,0
"Sunday, 19 April, 2020",Kelantan,0
"Sunday, 19 April, 2020",Melaka,0
"Sunday, 19 April, 2020",Negeri Sembilan,0
